street_name,street_number,zip,city
Grünewaldstraße,18,63739,Aschaffenburg
St.-Anna-Straße,20,80538,München
Rheinlandstraße,2,82319,Starnberg
Mitterfeldallee,17,85774,Unterföhring
Gutenbergstraße,1,86150,Augsburg
Lindauer Straße,22,87439,Kempten
Reutiner Straße,14,88131,Lindau
Schultheißallee,1,90478,Nürnberg
Waldschulallee,95,14055,Berlin
Beskidenstraße,1,14129,Berlin
Ostpreußendamm,166,12207,Berlin
Stadtbadstraße,4,63741,Aschaffenburg
Albrechtstraße,7,80636,München
Platanenstraße,2,86899,Landsberg am Lech
Bismarckstraße,6,91126,Schwabach
Rennweger Ring,11,97070,Würzburg
Barbarastraße,9,12249,Berlin
Place Molière,4,13469,Berlin
Herbertstraße,2-6,14193,Berlin
Ungererstraße,191,80805,München
Sigwolfstraße,50,85435,Erding
Bahnhofsplatz,15,91522,Ansbach
Michaeligasse,15,94032,Passau
Emser Straße,132-137,12051,Berlin
Singerstraße,8a,10179,Berlin
Goßlerstraße,13-15,12161,Berlin
Beuckestraße,27-29,14163,Berlin
Scharfenberg,1,13505,Berlin
Quiddestraße,4,81735,München
Ludwigstraße,58,86551,Aichach
Kaisergraben,21,87700,Memmingen
Zwerchgraben,1,97074,Würzburg
Sonnenallee,79,12045,Berlin
Galenstraße,40–44,13597,Berlin
Drakestraße,72–74,12205,Berlin
Heesestraße,15,12169,Berlin
Seeaustraße,1,80538,München
Kapellenweg,43,83064,Raubling
Obersimbach,28,84359,Simbach a.Inn
Hardtstraße,37,91207,Lauf a.d.Pegnitz
Lückstraße,60-63,10317,Berlin
Ringstraße,2-3,12203,Berlin
Jahnstraße,3,82008,Unterhaching
Jahnstraße,17,85567,Grafing b.München
Bergstraße,80,87724,Ottobeuren
Bergstraße,4,91315,Höchstadt a.d.Aisch
Sanderring,8,97070,Würzburg
Ellernweg,20-22,12487,Berlin
Römerweg,30-32,10318,Berlin
Allee der Kosmonauten,134,12683,Berlin
